plane_idx,x_cm,z_cm,weight
4,-0.023340,-0.007385,0.993047
0,0.079604,-0.032878,0.915371
1,0.039802,-0.016439,0.915371
2,-0.000000,-0.000000,0.915371
3,-0.039802,0.016439,0.915371
4,-0.079604,0.032878,0.915371
0,0.025437,-0.040704,0.973314
1,0.012719,-0.020352,0.973314
2,0.000000,0.000000,0.973314
3,-0.012719,0.020352,0.973314
4,-0.025437,0.040704,0.973314
0,-0.080988,0.002521,0.924874
1,-0.040494,0.001261,0.924874
2,0.000000,0.000000,0.924874
3,0.040494,-0.001261,0.924874
4,0.080988,-0.002521,0.924874
0,0.049845,0.036207,0.956196
1,0.024922,0.018103,0.956196
2,0.000000,0.000000,0.956196
3,-0.024922,-0.018103,0.956196
4,-0.049845,-0.036207,0.956196
0,-0.042420,-0.017070,0.975772
1,-0.021210,-0.008535,0.975772
2,0.000000,0.000000,0.975772
3,0.021210,0.008535,0.975772
4,0.042420,0.017070,0.975772
0,0.017756,0.030384,0.985631
1,0.008878,0.015192,0.985631
2,-0.000000,0.000000,0.985631
3,-0.008878,-0.015192,0.985631
4,-0.017756,-0.030384,0.985631
0,0.052186,-0.014824,0.965957
1,0.026093,-0.007412,0.965957
2,0.000000,0.000000,0.965957
3,-0.026093,0.007412,0.965957
4,-0.052186,0.014824,0.965957
0,0.009158,0.079174,0.927261
1,0.004579,0.039587,0.927261
2,0.000000,0.000000,0.927261
3,-0.004579,-0.039587,0.927261
4,-0.009158,-0.079174,0.927261
0,0.058625,0.064760,0.913005
1,0.029313,0.032380,0.913005
2,-0.000000,-0.000000,0.913005
3,-0.029313,-0.032380,0.913005
4,-0.058625,-0.064760,0.913005
0,-0.053838,-0.055024,0.932045
1,-0.026919,-0.027512,0.932045
2,0.000000,0.000000,0.932045
3,0.026919,0.027512,0.932045
4,0.053838,0.055024,0.932045
0,0.007738,-0.040060,0.980696
1,0.003869,-0.020030,0.980696
2,-0.000000,0.000000,0.980696
3,-0.003869,0.020030,0.980696
4,-0.007738,0.040060,0.980696
0,-0.043614,0.038302,0.961070
1,-0.021807,0.019151,0.961070
2,0.000000,-0.000000,0.961070
3,0.021807,-0.019151,0.961070
4,0.043614,-0.038302,0.961070
0,0.060061,-0.057019,0.921601
1,0.030030,-0.028509,0.921601
2,0.000000,-0.000000,0.921601
3,-0.030030,0.028509,0.921601
4,-0.060061,0.057019,0.921601
0,-0.055507,0.074040,0.902703
1,-0.027754,0.037020,0.902703
2,-0.000000,-0.000000,0.902703
3,0.027754,-0.037020,0.902703
4,0.055507,-0.074040,0.902703
0,-0.017757,-0.024020,0.989646
1,-0.008879,-0.012010,0.989646
2,-0.000000,0.000000,0.989646
3,0.008879,0.012010,0.989646
4,0.017757,0.024020,0.989646
0,-0.067493,0.038089,0.931146
1,-0.033747,0.019044,0.931146
2,0.000000,-0.000000,0.931146
3,0.033747,-0.019044,0.931146
4,0.067493,-0.038089,0.931146
0,-0.035727,-0.065601,0.935943
1,-0.017864,-0.032800,0.935943
2,0.000000,-0.000000,0.935943
3,0.017864,0.032800,0.935943
4,0.035727,0.065601,0.935943
0,-0.008642,0.013354,0.997067
1,-0.004321,0.006677,0.997067
2,-0.000000,0.000000,0.997067
3,0.004321,-0.006677,0.997067
4,0.008642,-0.013354,0.997067
0,0.002044,0.044198,0.977310
1,0.001022,0.022099,0.977310
2,-0.000000,-0.000000,0.977310
3,-0.001022,-0.022099,0.977310
4,-0.002044,-0.044198,0.977310
0,0.066993,0.005143,0.948004
1,0.033497,0.002571,0.948004
2,-0.000000,0.000000,0.948004
3,-0.033497,-0.002571,0.948004
4,-0.066993,-0.005143,0.948004
0,0.006525,0.025231,0.992119
1,0.003262,0.012616,0.992119
2,0.000000,-0.000000,0.992119
