x,y,z,dx,dy,dz,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
0.0241971112645,-0.000595224864744,4.03,-0.0484385935627,0.00276599861082,0.998822332502,0.733182015791,0.50433064025,0.605389145558,0.652544667503,0.68016981147,0.694601644572,0.698550407135,0.69345017304,0.678797526515,0.645019102217,0.174724536908,0.0491342138641,0.000575212922374,1.9570913278e-05,8.522274217e-08,2.34258870161e-09,1.30866311891e-10,2.70307786724e-12,6.04983901697e-14,1.0191778512e-15,4.44753649651e-18,9.38085765802e-20,3.35727698144e-21,7.77736514889e-23,1.92176209513e-24
0.0418027712369,-0.063759815039,4.03,-0.0807553435708,0.130417672658,0.98816486739,0.39724004582,0.131556433392,0.229071527939,0.290556085412,0.334645106844,0.364039921255,0.380188969099,0.384617006217,0.377881343864,0.356936398888,0.114172177706,0.00245040923256,6.87248352605e-05,1.46477629018e-06,3.25668434104e-08,1.87319612382e-09,1.30057961025e-12,6.84294283642e-16,6.50167598414e-19,6.65866628184e-22,1.92715183616e-24,1.42085777871e-27,1.6229050794e-31,9.85930580334e-37,9.98408701639e-42
0.0602655414135,-0.0375033771131,4.03,-0.124275189801,0.0704062177149,0.989746756351,0.153926440759,0.0137151266233,0.0326780329148,0.022443896589,5.45396784755e-05,2.35037397436e-12,8.60961861341e-21,9.35635293808e-31,2.36060910252e-41,2.47970036968e-51,9.963107045e-60,3.35514431426e-68,7.81677865527e-77,8.63015296527e-85,2.46691737415e-92,2.78891036185e-99,2.27237906038e-105,2.95047801967e-111,8.36500767609e-117,3.36902627966e-122,4.4435052024e-127,1.18390665627e-131,5.49468614468e-136,4.0482523306e-140,2.52093224073e-144
0.0687878662569,-0.00748117554508,4.03,-0.132706011191,0.00927777230682,0.991112020679,0.024999044528,0.000126311982558,9.19372152658e-05,6.4492170241e-15,1.86469190258e-32,3.88534068671e-51,9.59737371474e-70,2.07062415429e-87,5.44815880928e-104,1.31040221093e-118,2.22234564465e-131,7.88330560661e-144,6.32164767186e-155,4.89020577643e-165,3.24641745731e-174,1.14610018117e-182,4.38833896242e-191,9.48765746579e-199,2.80740770887e-206,1.72277365324e-213,2.75057997448e-220,8.61938957284e-227,4.69111693173e-233,4.0820346257e-239,5.32690401259e-245
-0.0714057421947,0.000275181550657,4.03,0.152097807237,0.00205523935378,0.988363310238,0.255804899188,0.0444752634874,0.0818999299525,0.0134543185421,0.00110494950339,1.00201823756e-06,2.421054334e-11,9.87006009386e-16,1.93285548776e-22,1.28473946254e-30,5.82916207572e-38,1.3446090746e-44,1.32261534152e-51,1.39554356526e-57,1.77570948229e-63,2.93286635449e-70,1.01550616506e-75,1.74892699843e-80,8.26490595757e-85,8.2791049247e-89,1.49890533507e-92,1.57010166018e-96,1.41580049784e-100,3.74213027868e-104,1.65388066136e-107
-0.051858038281,-0.0107622362285,4.03,0.11047362216,0.0205175940153,0.993667251721,0.289382135512,0.0601749795784,0.111994182017,0.104116829263,0.0103313573417,5.87142916203e-05,1.17106953839e-09,4.66630811655e-15,1.69617909945e-20,9.68976683986e-28,1.27712644494e-33,1.51828574224e-39,3.46553617947e-46,2.40348645999e-51,7.94861896436e-57,5.64620264288e-62,7.15906921962e-67,1.39824569329e-71,8.98016557231e-76,6.90391245988e-80,1.14643970822e-83,3.99094403048e-87,2.30754932517e-90,1.61975388866e-93,7.72398401272e-97
-0.00575944127638,-0.0226779775239,4.03,0.016185252513,0.0477817761777,0.998726659035,0.399725173777,0.127994233476,0.210088734427,0.245540145748,0.249316970545,0.176413894892,0.000563033590877,1.87532705241e-07,3.71702215249e-11,1.02201729169e-16,8.35697462794e-22,5.5587865211e-27,4.60218343028e-32,4.63616531369e-37,1.47098119055e-41,3.38710990564e-47,2.61953919579e-52,2.08855811034e-56,4.90475468211e-60,2.37705757617e-63,4.84955300054e-67,1.57202837505e-70,1.3295100519e-73,1.87517717113e-76,3.90040443275e-79
0.0456086958163,-0.075609142291,4.03,-0.0886903835702,0.1543172813,0.984032617627,0.230388839591,0.03553307556,0.0736757508701,0.0832282032309,0.0211896817256,4.5395269986e-06,1.82010052178e-13,4.12859120977e-21,2.04908774991e-29,2.98649187733e-39,4.56108403251e-49,2.61590438932e-56,6.84428582723e-64,9.75306322631e-71,1.57380661294e-77,3.48739054633e-83,3.08585596844e-88,7.24884867032e-93,3.64833287314e-97,3.42237727066e-101,5.41430951629e-105,1.33933036331e-108,4.88137249549e-112,2.49905790328e-115,1.72751211584e-118
0.0505194304669,-0.0584629719958,4.03,-0.0990049857666,0.119638559609,0.987868730069,0.368885875019,0.107646362779,0.186165185105,0.22358972193,0.231725678553,0.0706412230043,0.00313519937361,4.59737871662e-05,1.57788510548e-08,3.10746036134e-13,1.97695487893e-19,4.81344497983e-27,2.45470106718e-34,9.47256592963e-41,3.00866929116e-46,9.06950928003e-52,4.76684550308e-57,4.41514033243e-62,9.65420579965e-67,9.17363244464e-71,7.67700084149e-75,1.65040487077e-78,6.95641363243e-82,4.79694444898e-85,4.9408503265e-88
-0.041392771346,-0.0631511748116,4.03,0.0785766467196,0.124727551761,0.989074693045,0.193885741584,0.022315536567,0.0438347816081,0.00815816302835,4.18945224137e-08,1.24843650709e-14,8.61559865409e-21,6.19937990621e-28,7.83988541753e-36,2.21372758942e-43,9.70014972261e-51,1.53216023346e-57,3.38112242402e-64,4.26509624495e-70,9.55209282679e-76,2.07220010111e-81,2.75750870773e-87,1.65155275598e-92,2.10558004884e-97,3.01168203849e-102,1.45527893263e-106,1.42935777258e-110,2.34848202206e-114,2.21216466032e-118,1.91981919141e-122
